1676916575.435601000 38462,5000
1676916575.471833000 5000,38394
1676916575.472879000 5000,38356
1676916575.477345000 5000,38366
1676916575.495377000 5000,38330
1676916575.497172000 5000,38402
1676916575.506698000 5000,38430
1676916575.511314000 5000,38308
1676916575.516540000 5000,38342
1676916575.517487000 5000,38320
1676916575.524840000 5000,38382
1676916575.525120000 5000,38420
1676916575.530766000 5000,38456
1676916575.531428000 5000,38410
1676916575.531687000 5000,38424
1676916575.532228000 5000,38440
